TCGA	GSE17536	GSE17537	GSE29621	GSE38832	GSE39582	GSE72970
Lasso+Stepglm[both]	0.714600300604705	0.670969441517387	0.712857142857143	0.663	0.650835866261398	0.584183042462553	0.630434782608696
SVM	0.986280541088469	0.5	0.5	0.5	0.5	0.5	0.5
glmBoost+SVM	0.884983746373519	0.490384615384615	0.5	0.5	0.48936170212766	0.496255324996565	0.489979619565217
Ridge	0.70476073962739	0.690200210748156	0.764285714285714	0.661	0.724924012158055	0.619554761577573	0.656589673913043
Lasso+SVM	0.903911356566116	0.5	0.5	0.5	0.5	0.5	0.5
glmBoost+Ridge	0.709147471075536	0.697971548998946	0.721428571428571	0.677	0.699468085106383	0.616586505428061	0.665421195652174
Enet[alpha=0.1]	0.714303191303436	0.696786090621707	0.717142857142857	0.665	0.699848024316109	0.61150199257936	0.66304347826087
glmBoost+Enet[alpha=0.1]	0.709462057394526	0.698761854583772	0.714285714285714	0.674	0.699088145896657	0.612340250103064	0.660326086956522
Enet[alpha=0.2]	0.715963507986997	0.701923076923077	0.711428571428571	0.67	0.69338905775076	0.608973478081627	0.659307065217391
Enet[alpha=0.3]	0.709252333181866	0.70100105374078	0.708571428571429	0.679	0.694528875379939	0.605936512299024	0.658967391304348
glmBoost+Enet[alpha=0.3]	0.709234856164144	0.697312961011591	0.708571428571429	0.682	0.696048632218845	0.608313865603958	0.65523097826087
glmBoost+Enet[alpha=0.2]	0.709322241252753	0.697708113804004	0.71	0.678	0.69870820668693	0.609688058265769	0.655570652173913
Enet[alpha=0.4]	0.709112517040092	0.700605900948367	0.708571428571429	0.683	0.69338905775076	0.604232513398378	0.656589673913043
glmBoost+Enet[alpha=0.4]	0.708955223880597	0.696917808219178	0.707142857142857	0.683	0.698328267477204	0.606898447162292	0.651154891304348
Lasso+glmBoost	0.723321332447831	0.693888303477345	0.714285714285714	0.665	0.68161094224924	0.604356190737941	0.644701086956522
Enet[alpha=0.5]	0.70981159774896	0.702054794520548	0.705714285714286	0.681	0.691869300911854	0.60393019101278	0.65726902173913
glmBoost	0.711297144255304	0.702186512118019	0.705714285714286	0.675	0.695668693009118	0.599752645320874	0.653192934782609
glmBoost+Enet[alpha=0.5]	0.708640637561606	0.696786090621707	0.707142857142857	0.683	0.697948328267477	0.606376253950804	0.651494565217391
Enet[alpha=0.6]	0.710126184067951	0.702713382507903	0.707142857142857	0.678	0.693009118541033	0.602569740277587	0.654891304347826
glmBoost+Enet[alpha=0.6]	0.708535775455276	0.69718124341412	0.707142857142857	0.681	0.697188449848024	0.605840318812698	0.650475543478261
glmBoost+Enet[alpha=0.7]	0.708448390366668	0.696654373024236	0.705714285714286	0.681	0.698328267477204	0.605854060739316	0.652853260869565
glmBoost+Enet[alpha=0.8]	0.708395959313503	0.69718124341412	0.708571428571429	0.68	0.697188449848024	0.605070770922083	0.650135869565217
Enet[alpha=0.8]	0.710318431262889	0.702186512118019	0.705714285714286	0.675	0.694528875379939	0.600563418991343	0.654891304347826
Enet[alpha=0.9]	0.715177042189521	0.702186512118019	0.708571428571429	0.672	0.69338905775076	0.600673354404287	0.654551630434783
Lasso	0.715054703065469	0.702976817702845	0.708571428571429	0.674	0.69338905775076	0.600096193486327	0.654211956521739
Enet[alpha=0.7]	0.715142088154077	0.702976817702845	0.708571428571429	0.67	0.695288753799392	0.602171224405662	0.654551630434783
