features	algorithm
RBP7	Lasso+Stepglm[both]
SPOCD1	Lasso+Stepglm[both]
H2BC21	Lasso+Stepglm[both]
THBS3	Lasso+Stepglm[both]
CLK2	Lasso+Stepglm[both]
INHBB	Lasso+Stepglm[both]
DNAJB2	Lasso+Stepglm[both]
ERFE	Lasso+Stepglm[both]
IL20RB	Lasso+Stepglm[both]
PCOLCE2	Lasso+Stepglm[both]
HSPB1	Lasso+Stepglm[both]
PLAG1	Lasso+Stepglm[both]
FABP4	Lasso+Stepglm[both]
HOXC6	Lasso+Stepglm[both]
MID2	Lasso+Stepglm[both]
GDI1	Lasso+Stepglm[both]
RBP7	SVM
SPOCD1	SVM
KANK4	SVM
SRGAP2C	SVM
H2BC21	SVM
THBS3	SVM
CLK2	SVM
PRELP	SVM
SOX13	SVM
PTPN14	SVM
HLX	SVM
SEMA4C	SVM
INHBB	SVM
SLC11A1	SVM
DNAJB2	SVM
CHPF	SVM
SLC4A3	SVM
KCNE4	SVM
SCG2	SVM
RAMP1	SVM
ERFE	SVM
UBE2E2	SVM
SLC35G2	SVM
IL20RB	SVM
PCOLCE2	SVM
BCL6	SVM
SPP1	SVM
SFRP2	SVM
VEGFC	SVM
SPOCK1	SVM
PCDHB5	SVM
C5orf46	SVM
GPX3	SVM
FOXC1	SVM
AL031777.2	SVM
RGL2	SVM
RRAGD	SVM
ANKRD6	SVM
ELFN1	SVM
IGFBP3	SVM
HSPB1	SVM
PTPRZ1	SVM
CLU	SVM
PLAG1	SVM
FABP4	SVM
CDKN2A	SVM
PCSK5	SVM
LRRC8A	SVM
ANXA8L1	SVM
ANXA8	SVM
PI4K2A	SVM
MARVELD1	SVM
TRIM6	SVM
FJX1	SVM
LTBP3	SVM
CRYAB	SVM
C2CD2L	SVM
ENO2	SVM
SLC2A3	SVM
RIMKLB	SVM
MGP	SVM
KCNJ8	SVM
HOXC6	SVM
HOXC4	SVM
CSRP2	SVM
GJB6	SVM
FLT1	SVM
PCDH9	SVM
ABHD4	SVM
TGFB3	SVM
IRF2BPL	SVM
ACTC1	SVM
MEIS2	SVM
CCDC9B	SVM
CILP	SVM
HOMER2	SVM
ALDH1A3	SVM
CALB2	SVM
TERF2IP	SVM
CAVIN1	SVM
AOC3	SVM
VAT1	SVM
HOXB4	SVM
NOG	SVM
FSTL3	SVM
GADD45B	SVM
MUC16	SVM
SLC27A1	SVM
COMP	SVM
MARK4	SVM
TNNT1	SVM
LAMP5	SVM
SRPX	SVM
TIMP1	SVM
TSPYL2	SVM
GPRASP1	SVM
MID2	SVM
GDI1	SVM
RBP7	glmBoost+SVM
H2BC21	glmBoost+SVM
CLK2	glmBoost+SVM
INHBB	glmBoost+SVM
ERFE	glmBoost+SVM
IL20RB	glmBoost+SVM
PCOLCE2	glmBoost+SVM
HSPB1	glmBoost+SVM
FABP4	glmBoost+SVM
HOXC6	glmBoost+SVM
GDI1	glmBoost+SVM
RBP7	Ridge
SPOCD1	Ridge
KANK4	Ridge
SRGAP2C	Ridge
H2BC21	Ridge
THBS3	Ridge
CLK2	Ridge
PRELP	Ridge
SOX13	Ridge
PTPN14	Ridge
HLX	Ridge
SEMA4C	Ridge
INHBB	Ridge
SLC11A1	Ridge
DNAJB2	Ridge
CHPF	Ridge
SLC4A3	Ridge
KCNE4	Ridge
SCG2	Ridge
RAMP1	Ridge
ERFE	Ridge
UBE2E2	Ridge
SLC35G2	Ridge
IL20RB	Ridge
PCOLCE2	Ridge
BCL6	Ridge
SPP1	Ridge
SFRP2	Ridge
VEGFC	Ridge
SPOCK1	Ridge
PCDHB5	Ridge
C5orf46	Ridge
GPX3	Ridge
FOXC1	Ridge
AL031777.2	Ridge
RGL2	Ridge
RRAGD	Ridge
ANKRD6	Ridge
ELFN1	Ridge
IGFBP3	Ridge
HSPB1	Ridge
PTPRZ1	Ridge
CLU	Ridge
PLAG1	Ridge
FABP4	Ridge
CDKN2A	Ridge
PCSK5	Ridge
LRRC8A	Ridge
ANXA8L1	Ridge
ANXA8	Ridge
PI4K2A	Ridge
MARVELD1	Ridge
TRIM6	Ridge
FJX1	Ridge
LTBP3	Ridge
CRYAB	Ridge
C2CD2L	Ridge
ENO2	Ridge
SLC2A3	Ridge
RIMKLB	Ridge
MGP	Ridge
KCNJ8	Ridge
HOXC6	Ridge
HOXC4	Ridge
CSRP2	Ridge
GJB6	Ridge
FLT1	Ridge
PCDH9	Ridge
ABHD4	Ridge
TGFB3	Ridge
IRF2BPL	Ridge
ACTC1	Ridge
MEIS2	Ridge
CCDC9B	Ridge
CILP	Ridge
HOMER2	Ridge
ALDH1A3	Ridge
CALB2	Ridge
TERF2IP	Ridge
CAVIN1	Ridge
AOC3	Ridge
VAT1	Ridge
HOXB4	Ridge
NOG	Ridge
FSTL3	Ridge
GADD45B	Ridge
MUC16	Ridge
SLC27A1	Ridge
COMP	Ridge
MARK4	Ridge
TNNT1	Ridge
LAMP5	Ridge
SRPX	Ridge
TIMP1	Ridge
TSPYL2	Ridge
GPRASP1	Ridge
MID2	Ridge
GDI1	Ridge
RBP7	Lasso+SVM
SPOCD1	Lasso+SVM
H2BC21	Lasso+SVM
THBS3	Lasso+SVM
CLK2	Lasso+SVM
INHBB	Lasso+SVM
DNAJB2	Lasso+SVM
ERFE	Lasso+SVM
IL20RB	Lasso+SVM
PCOLCE2	Lasso+SVM
HSPB1	Lasso+SVM
PLAG1	Lasso+SVM
FABP4	Lasso+SVM
HOXC6	Lasso+SVM
MID2	Lasso+SVM
GDI1	Lasso+SVM
RBP7	glmBoost+Ridge
H2BC21	glmBoost+Ridge
CLK2	glmBoost+Ridge
INHBB	glmBoost+Ridge
ERFE	glmBoost+Ridge
IL20RB	glmBoost+Ridge
PCOLCE2	glmBoost+Ridge
HSPB1	glmBoost+Ridge
FABP4	glmBoost+Ridge
HOXC6	glmBoost+Ridge
GDI1	glmBoost+Ridge
RBP7	Enet[alpha=0.1]
SPOCD1	Enet[alpha=0.1]
KANK4	Enet[alpha=0.1]
SRGAP2C	Enet[alpha=0.1]
H2BC21	Enet[alpha=0.1]
THBS3	Enet[alpha=0.1]
CLK2	Enet[alpha=0.1]
PRELP	Enet[alpha=0.1]
SOX13	Enet[alpha=0.1]
PTPN14	Enet[alpha=0.1]
HLX	Enet[alpha=0.1]
SEMA4C	Enet[alpha=0.1]
INHBB	Enet[alpha=0.1]
SLC11A1	Enet[alpha=0.1]
DNAJB2	Enet[alpha=0.1]
CHPF	Enet[alpha=0.1]
SLC4A3	Enet[alpha=0.1]
KCNE4	Enet[alpha=0.1]
SCG2	Enet[alpha=0.1]
RAMP1	Enet[alpha=0.1]
ERFE	Enet[alpha=0.1]
UBE2E2	Enet[alpha=0.1]
SLC35G2	Enet[alpha=0.1]
IL20RB	Enet[alpha=0.1]
PCOLCE2	Enet[alpha=0.1]
BCL6	Enet[alpha=0.1]
SPP1	Enet[alpha=0.1]
SFRP2	Enet[alpha=0.1]
VEGFC	Enet[alpha=0.1]
SPOCK1	Enet[alpha=0.1]
PCDHB5	Enet[alpha=0.1]
C5orf46	Enet[alpha=0.1]
GPX3	Enet[alpha=0.1]
FOXC1	Enet[alpha=0.1]
AL031777.2	Enet[alpha=0.1]
RGL2	Enet[alpha=0.1]
RRAGD	Enet[alpha=0.1]
ANKRD6	Enet[alpha=0.1]
ELFN1	Enet[alpha=0.1]
IGFBP3	Enet[alpha=0.1]
HSPB1	Enet[alpha=0.1]
PTPRZ1	Enet[alpha=0.1]
CLU	Enet[alpha=0.1]
PLAG1	Enet[alpha=0.1]
FABP4	Enet[alpha=0.1]
CDKN2A	Enet[alpha=0.1]
PCSK5	Enet[alpha=0.1]
LRRC8A	Enet[alpha=0.1]
ANXA8L1	Enet[alpha=0.1]
ANXA8	Enet[alpha=0.1]
PI4K2A	Enet[alpha=0.1]
MARVELD1	Enet[alpha=0.1]
TRIM6	Enet[alpha=0.1]
FJX1	Enet[alpha=0.1]
LTBP3	Enet[alpha=0.1]
CRYAB	Enet[alpha=0.1]
C2CD2L	Enet[alpha=0.1]
ENO2	Enet[alpha=0.1]
SLC2A3	Enet[alpha=0.1]
RIMKLB	Enet[alpha=0.1]
MGP	Enet[alpha=0.1]
KCNJ8	Enet[alpha=0.1]
HOXC6	Enet[alpha=0.1]
HOXC4	Enet[alpha=0.1]
CSRP2	Enet[alpha=0.1]
GJB6	Enet[alpha=0.1]
FLT1	Enet[alpha=0.1]
PCDH9	Enet[alpha=0.1]
ABHD4	Enet[alpha=0.1]
TGFB3	Enet[alpha=0.1]
IRF2BPL	Enet[alpha=0.1]
ACTC1	Enet[alpha=0.1]
MEIS2	Enet[alpha=0.1]
CCDC9B	Enet[alpha=0.1]
CILP	Enet[alpha=0.1]
HOMER2	Enet[alpha=0.1]
ALDH1A3	Enet[alpha=0.1]
CALB2	Enet[alpha=0.1]
TERF2IP	Enet[alpha=0.1]
CAVIN1	Enet[alpha=0.1]
AOC3	Enet[alpha=0.1]
VAT1	Enet[alpha=0.1]
HOXB4	Enet[alpha=0.1]
NOG	Enet[alpha=0.1]
FSTL3	Enet[alpha=0.1]
GADD45B	Enet[alpha=0.1]
MUC16	Enet[alpha=0.1]
SLC27A1	Enet[alpha=0.1]
COMP	Enet[alpha=0.1]
MARK4	Enet[alpha=0.1]
TNNT1	Enet[alpha=0.1]
LAMP5	Enet[alpha=0.1]
SRPX	Enet[alpha=0.1]
TIMP1	Enet[alpha=0.1]
TSPYL2	Enet[alpha=0.1]
GPRASP1	Enet[alpha=0.1]
MID2	Enet[alpha=0.1]
GDI1	Enet[alpha=0.1]
RBP7	glmBoost+Enet[alpha=0.1]
H2BC21	glmBoost+Enet[alpha=0.1]
CLK2	glmBoost+Enet[alpha=0.1]
INHBB	glmBoost+Enet[alpha=0.1]
ERFE	glmBoost+Enet[alpha=0.1]
IL20RB	glmBoost+Enet[alpha=0.1]
PCOLCE2	glmBoost+Enet[alpha=0.1]
HSPB1	glmBoost+Enet[alpha=0.1]
FABP4	glmBoost+Enet[alpha=0.1]
HOXC6	glmBoost+Enet[alpha=0.1]
GDI1	glmBoost+Enet[alpha=0.1]
RBP7	Enet[alpha=0.2]
SPOCD1	Enet[alpha=0.2]
KANK4	Enet[alpha=0.2]
SRGAP2C	Enet[alpha=0.2]
H2BC21	Enet[alpha=0.2]
THBS3	Enet[alpha=0.2]
CLK2	Enet[alpha=0.2]
PRELP	Enet[alpha=0.2]
SOX13	Enet[alpha=0.2]
PTPN14	Enet[alpha=0.2]
HLX	Enet[alpha=0.2]
SEMA4C	Enet[alpha=0.2]
INHBB	Enet[alpha=0.2]
SLC11A1	Enet[alpha=0.2]
DNAJB2	Enet[alpha=0.2]
CHPF	Enet[alpha=0.2]
SLC4A3	Enet[alpha=0.2]
KCNE4	Enet[alpha=0.2]
SCG2	Enet[alpha=0.2]
RAMP1	Enet[alpha=0.2]
ERFE	Enet[alpha=0.2]
UBE2E2	Enet[alpha=0.2]
SLC35G2	Enet[alpha=0.2]
IL20RB	Enet[alpha=0.2]
PCOLCE2	Enet[alpha=0.2]
BCL6	Enet[alpha=0.2]
SPP1	Enet[alpha=0.2]
SFRP2	Enet[alpha=0.2]
VEGFC	Enet[alpha=0.2]
SPOCK1	Enet[alpha=0.2]
PCDHB5	Enet[alpha=0.2]
C5orf46	Enet[alpha=0.2]
GPX3	Enet[alpha=0.2]
FOXC1	Enet[alpha=0.2]
AL031777.2	Enet[alpha=0.2]
RGL2	Enet[alpha=0.2]
RRAGD	Enet[alpha=0.2]
ANKRD6	Enet[alpha=0.2]
ELFN1	Enet[alpha=0.2]
IGFBP3	Enet[alpha=0.2]
HSPB1	Enet[alpha=0.2]
PTPRZ1	Enet[alpha=0.2]
CLU	Enet[alpha=0.2]
PLAG1	Enet[alpha=0.2]
FABP4	Enet[alpha=0.2]
CDKN2A	Enet[alpha=0.2]
PCSK5	Enet[alpha=0.2]
LRRC8A	Enet[alpha=0.2]
ANXA8L1	Enet[alpha=0.2]
ANXA8	Enet[alpha=0.2]
PI4K2A	Enet[alpha=0.2]
MARVELD1	Enet[alpha=0.2]
